,Jumlah_Penduduk_Miskin,Tingkat_Pengangguran,Pendapatan_Rata_Rata,Kepadatan_Penduduk,Akses_Fasilitas_Publik,Jumlah_KK_Penerima_Bansos,IPM
0,0.04096834264432031,0.0714285714285714,0.8860759493670888,0.7553516819571864,0.9285714285714286,0.04730831973898858,0.870967741935484
1,0.11918063314711358,0.1607142857142858,0.7594936708860761,0.6116207951070336,0.8333333333333333,0.11419249592169659,0.75
2,0.0940409683426443,0.1071428571428571,0.8143459915611816,0.6422018348623852,0.857142857142857,0.0864600326264274,0.798387096774194
3,0.15549348230912474,0.2142857142857143,0.7046413502109706,0.536697247706422,0.7857142857142858,0.15171288743882547,0.6935483870967749
4,0.3482309124767225,0.4285714285714286,0.44303797468354433,0.8119266055045871,0.5714285714285714,0.3523654159869495,0.41935483870967794
5,0.7644320297951583,0.8214285714285714,0.1392405063291139,1,0.23809523809523814,0.7879282218597063,0.185483870967742
6,0.6554934823091247,0.75,0.18565400843881863,0.9525993883792048,0.30952380952380953,0.7177814029363785,0.24193548387096797
7,0,0,1,0.7951070336391437,0.9999999999999998,0,1
8,0.8696461824953445,0.9285714285714284,0.05485232067510559,0.045871559633027525,0.09523809523809534,0.8907014681892333,0.04838709677419484
9,1,1,0,0.18348623853211005,0,1,0
10,0.425512104283054,0.5,0.3628691983122364,0.38226299694189597,0.5,0.4241435562805873,0.3709677419354849
11,0.2644320297951583,0.3035714285714286,0.5611814345991563,0.29204892966360857,0.6904761904761905,0.26101141924959215,0.588709677419355
12,0.4720670391061453,0.5892857142857142,0.26582278481012656,0,0.33333333333333326,0.4779771615008157,0.27419354838709786
13,0.3547486033519553,0.375,0.5358649789029536,0.33792048929663604,0.6666666666666667,0.3360522022838499,0.556451612903226
14,0.28584729981378026,0.2857142857142857,0.6202531645569621,0.2140672782874618,0.7142857142857142,0.2724306688417618,0.612903225806452
15,0.22439478584729983,0.2321428571428571,0.6751054852320676,0.2599388379204893,0.7619047619047619,0.233278955954323,0.661290322580645
16,0.09962756052141525,0.125,0.7890295358649789,0.7201834862385321,0.8809523809523807,0.09787928221859707,0.782258064516129
17,0.5344506517690875,0.6428571428571428,0.23628691983122374,0.30581039755351686,0.4285714285714286,0.5432300163132138,0.3225806451612909
